City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,Saskylakh,71.9167,114.0833,-23.15,100,96,2.48,RU,2022-02-06 23:22:02
95,Loandjili,-4.7561,11.8578,77.11,94,20,3.44,CG,2022-02-06 23:23:03
96,Qaanaaq,77.484,-69.3632,-12.91,58,31,7.7,GL,2022-02-06 23:23:03
97,Ipubi,-7.6519,-40.1489,80.49,54,83,5.17,BR,2022-02-06 23:23:03
98,Quatre Cocos,-20.2078,57.7625,78.91,84,93,8.57,MU,2022-02-06 23:23:03
99,Bonthe,7.5264,-12.505,77.85,88,28,5.23,SL,2022-02-06 23:23:04
100,San Pedro,14.35,121.0167,78.03,81,75,4.61,PH,2022-02-06 23:23:04
101,Camacha,33.0833,-16.3333,59.76,63,40,11.5,PT,2022-02-06 23:18:43
102,Marystown,47.1666,-55.1483,19.85,100,92,13.04,CA,2022-02-06 23:19:06
103,Stephenville Crossing,48.5,-58.4318,12.33,62,75,14.97,CA,2022-02-06 23:23:04
104,Bredasdorp,-34.5322,20.0403,63.28,88,1,6.91,ZA,2022-02-06 23:23:05
105,Sira,13.7453,76.9092,71.69,67,100,6.53,IN,2022-02-06 23:23:05
106,Chor,25.5167,69.7667,63.77,78,0,7.0,PK,2022-02-06 23:23:05
107,Kayerkan,69.3497,87.7602,-27.04,99,42,2.42,RU,2022-02-06 23:23:05
108,Shakawe,-18.3667,21.85,65.89,85,54,5.12,BW,2022-02-06 23:23:06
109,Caaguazu,-25.45,-56.0167,70.81,56,0,4.45,PY,2022-02-06 23:23:06
110,Bulgan,48.8125,103.5347,-2.54,83,15,3.8,MN,2022-02-06 23:23:06
111,Beringovskiy,63.05,179.3167,-15.52,96,36,5.86,RU,2022-02-06 23:23:06
112,Vaitape,-16.5167,-151.75,81.63,74,100,20.0,PF,2022-02-06 23:20:35
113,Ribeira Grande,38.5167,-28.7,61.43,84,11,10.94,PT,2022-02-06 23:23:07
