City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Inhambane,MZ,-23.865,35.3833,76.73,81,75,14.16,broken clouds
121,Mineros,BO,-17.1167,-63.2333,76.59,96,90,0.69,overcast clouds
122,Castro,BR,-24.7911,-50.0119,63.09,80,4,2.48,clear sky
123,Lasa,IT,46.6166,10.7002,42.26,91,100,5.7,snow
124,Fomboni,KM,-12.28,43.7425,82.29,76,2,9.17,moderate rain
125,Ketchikan,US,55.3422,-131.6461,46.38,87,100,16.11,overcast clouds
126,Severo-Kurilsk,RU,50.6789,156.125,32.16,80,100,9.82,overcast clouds
127,Tasiilaq,GL,65.6145,-37.6368,23.16,54,100,56.8,light snow
128,Airai,TL,-8.9266,125.4092,74.35,62,5,2.06,clear sky
129,Nigran,ES,42.1415,-8.8066,49.03,73,0,3.44,clear sky
130,Kualakapuas,ID,-3.0091,114.3876,77.16,79,100,4.47,overcast clouds
131,Manaure,CO,11.7751,-72.4445,77.92,77,4,16.02,clear sky
132,Kupino,RU,54.3663,77.2981,-5.46,96,64,7.2,broken clouds
133,Lima,PE,-12.0432,-77.0282,68.4,37,20,8.05,few clouds
134,Bengkulu,ID,-3.8004,102.2655,79.0,80,98,9.51,overcast clouds
135,Capitao Poco,BR,-1.7464,-47.0594,72.57,97,100,3.78,moderate rain
136,Road Town,VG,18.4167,-64.6167,75.99,73,73,22.64,broken clouds
137,Bluff,NZ,-46.6,168.3333,60.8,64,0,12.01,clear sky
138,Umm Lajj,SA,25.0213,37.2685,65.23,35,0,15.35,clear sky
139,Banda Aceh,ID,5.5577,95.3222,77.9,86,100,7.38,overcast clouds
140,Verkhnyaya Pyshma,RU,56.9667,60.5808,-11.45,100,90,3.29,overcast clouds
141,Port Macquarie,AU,-31.4333,152.9167,73.89,56,70,16.31,broken clouds
142,Chokurdakh,RU,70.6333,147.9167,-39.73,99,79,3.85,broken clouds
143,Naryshkino,RU,52.9678,35.7268,29.66,95,100,12.84,light snow
144,Lata,PT,40.1629,-8.3327,45.05,59,28,3.98,scattered clouds
145,Vila Velha,BR,-20.3297,-40.2925,78.75,88,75,1.99,broken clouds
146,Tiznit,MA,29.5833,-9.5,60.64,22,4,6.98,clear sky
147,Lebu,CL,-37.6167,-73.65,59.22,92,3,15.41,clear sky
148,Kenai,US,60.5544,-151.2583,28.15,95,100,0.0,light snow
149,Meadow Lake,US,34.8014,-106.5436,34.77,67,48,5.21,scattered clouds
150,Tomatlan,MX,19.9333,-105.25,67.48,83,100,1.54,overcast clouds
151,Santa Maria,BR,-29.6842,-53.8069,65.5,59,0,2.3,clear sky
152,Terrace,CA,54.5163,-128.6035,39.11,100,100,5.75,light rain
153,Morada Nova,BR,-5.1067,-38.3725,75.74,82,15,3.94,few clouds
154,Catamarca,AR,-28.4696,-65.7852,72.77,62,20,4.0,few clouds
155,Teya,RU,60.3778,92.6267,-1.3,100,94,2.66,overcast clouds
156,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,73,75,21.99,broken clouds
157,Aldan,RU,58.6031,125.3894,2.05,93,100,2.1,overcast clouds
158,Burnie,AU,-41.0667,145.9167,71.94,52,0,9.8,clear sky
159,Dawson Creek,CA,55.7666,-120.2362,44.24,49,0,14.97,clear sky
160,Kendari,ID,-3.945,122.4989,84.56,73,77,11.16,moderate rain
161,Mahebourg,MU,-20.4081,57.7,77.29,94,75,3.44,broken clouds
162,Portland,US,45.5234,-122.6762,51.87,80,20,1.99,few clouds
163,Geraldton,AU,-28.7667,114.6,75.61,35,40,18.41,scattered clouds
164,Bilma,NE,18.6853,12.9164,56.57,18,0,7.92,clear sky
165,Beloha,MG,-25.1667,45.05,74.1,93,100,14.36,light rain
166,Nyurba,RU,63.2842,118.3319,-4.67,96,100,6.76,overcast clouds
167,Flinders,AU,-34.5833,150.8552,76.05,64,44,10.0,light rain
168,Vao,NC,-22.6667,167.4833,80.89,82,42,11.63,scattered clouds
169,Prieska,ZA,-29.6641,22.7474,74.19,56,91,4.7,overcast clouds
170,Norman Wells,CA,65.282,-126.8329,-12.96,70,100,17.27,light snow
171,Grenfell,AU,-33.9,148.1667,79.43,25,1,10.78,clear sky
172,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,59,75,17.9,broken clouds
173,Barcelos,PT,41.5388,-8.6151,46.69,66,76,5.32,broken clouds
174,Isla Mujeres,MX,21.2311,-86.731,71.65,80,27,9.01,scattered clouds
175,Umuahia,NG,5.5263,7.4896,71.37,91,0,2.75,clear sky
176,Victoria,HK,22.2855,114.1577,65.97,89,100,1.01,overcast clouds
177,Nantucket,US,41.2835,-70.0995,32.14,68,0,11.5,clear sky
178,Kolosovka,RU,56.4678,73.611,-4.32,93,98,5.68,overcast clouds
179,Acapulco,MX,16.8634,-99.8901,80.42,74,0,9.22,clear sky
180,Clyde River,CA,70.4692,-68.5914,-34.37,67,0,8.05,clear sky
181,Grafenau,DE,48.8577,13.3974,35.83,92,100,4.0,light snow
182,Ahipara,NZ,-35.1667,173.1667,75.16,96,95,6.08,overcast clouds
183,Lagoa,PT,39.05,-27.9833,59.56,85,7,16.49,clear sky
184,San Cristobal,VE,7.7669,-72.225,69.98,90,26,1.28,scattered clouds
185,Mackenzie,CA,55.2999,-123.1698,41.22,60,100,11.5,overcast clouds
186,Mayumba,GA,-3.432,10.6554,76.17,92,63,8.28,broken clouds
187,Carnarvon,AU,-24.8667,113.6333,78.87,36,6,21.85,clear sky
188,Slonim,BY,53.0867,25.3219,33.94,98,100,15.66,snow
189,Mahibadhoo,MV,3.7833,72.9667,81.01,66,64,10.27,broken clouds
190,Laguna,US,38.421,-121.4238,60.8,63,0,4.61,clear sky
191,San Lorenzo De El Escorial,ES,40.5914,-4.1474,41.99,58,46,5.68,scattered clouds
192,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.63,44,0,6.02,clear sky
193,Richards Bay,ZA,-28.783,32.0377,71.53,90,81,2.59,light rain
194,Sangin,AF,32.0728,64.8359,43.18,48,0,1.23,clear sky
195,Nanortalik,GL,60.1432,-45.2371,17.42,62,100,46.19,overcast clouds
196,Gumdag,TM,39.2061,54.5906,36.55,78,74,7.43,broken clouds
197,Pacific Grove,US,36.6177,-121.9166,62.94,73,0,1.99,clear sky
198,Luderitz,NA,-26.6481,15.1594,67.19,78,40,3.09,scattered clouds
199,Hirara,JP,24.8,125.2833,70.07,60,75,17.27,broken clouds
200,Esperance,AU,-33.8667,121.9,73.24,53,18,28.1,few clouds
201,Ous,RU,60.9058,61.5186,2.59,100,100,3.42,overcast clouds
202,Fairbanks,US,64.8378,-147.7164,-2.9,77,100,0.0,overcast clouds
203,Sinnamary,GF,5.3833,-52.95,76.87,89,100,7.92,overcast clouds
204,Paita,PE,-5.0892,-81.1144,72.18,79,92,9.82,overcast clouds
205,Kununurra,AU,-15.7667,128.7333,84.18,79,40,5.75,scattered clouds
206,Doha,QA,25.2867,51.5333,60.69,61,0,10.36,clear sky
207,Walvis Bay,NA,-22.9575,14.5053,72.55,78,93,6.91,overcast clouds
208,Zhangye,CN,38.9342,100.4517,17.62,61,1,1.12,clear sky
