City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
113,Hambantota,LK,77.34,broken clouds,6.1241,81.1185,Bungalow 63
115,Half Moon Bay,US,62.35,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
118,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
120,Inhambane,MZ,76.73,broken clouds,-23.865,35.3833,Oceano
121,Mineros,BO,76.59,overcast clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
122,Castro,BR,63.09,clear sky,-24.7911,-50.0119,CHACARA BAILLY
124,Fomboni,KM,82.29,moderate rain,-12.28,43.7425,Auberge les abou
128,Airai,TL,74.35,clear sky,-8.9266,125.4092,
130,Kualakapuas,ID,77.16,overcast clouds,-3.0091,114.3876,Guest House Izonk
131,Manaure,CO,77.92,clear sky,11.7751,-72.4445,Hotel Palaaima
133,Lima,PE,68.4,few clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
134,Bengkulu,ID,79.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
135,Capitao Poco,BR,72.57,moderate rain,-1.7464,-47.0594,Hotel New Tokyo
136,Road Town,VG,75.99,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
137,Bluff,NZ,60.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
138,Umm Lajj,SA,65.23,clear sky,25.0213,37.2685,Moon light Furnished Units
139,Banda Aceh,ID,77.9,overcast clouds,5.5577,95.3222,Sulthan Hotel International
141,Port Macquarie,AU,73.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
145,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
146,Tiznit,MA,60.64,clear sky,29.5833,-9.5,
150,Tomatlan,MX,67.48,overcast clouds,19.9333,-105.25,El Salvial
151,Santa Maria,BR,65.5,clear sky,-29.6842,-53.8069,Hotel Morotin
153,Morada Nova,BR,75.74,few clouds,-5.1067,-38.3725,PIZZARIA MARIANA
154,Catamarca,AR,72.77,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
156,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
158,Burnie,AU,71.94,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
160,Kendari,ID,84.56,moderate rain,-3.945,122.4989,Hotel Wixel
161,Mahebourg,MU,77.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
163,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
165,Beloha,MG,74.1,light rain,-25.1667,45.05,
167,Flinders,AU,76.05,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
168,Vao,NC,80.89,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
169,Prieska,ZA,74.19,overcast clouds,-29.6641,22.7474,Avenue GuestHouse
171,Grenfell,AU,79.43,clear sky,-33.9,148.1667,Grenfell Royal Hotel
174,Isla Mujeres,MX,71.65,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
175,Umuahia,NG,71.37,clear sky,5.5263,7.4896,Hotel Macbek Limited
176,Victoria,HK,65.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
179,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
182,Ahipara,NZ,75.16,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
184,San Cristobal,VE,69.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
186,Mayumba,GA,76.17,broken clouds,-3.432,10.6554,LIKWALE LODGE
187,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
189,Mahibadhoo,MV,81.01,broken clouds,3.7833,72.9667,Omadhoo Inn
190,Laguna,US,60.8,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
192,Presidencia Roque Saenz Pena,AR,66.63,clear sky,-26.7852,-60.4388,Hotel Gualok
193,Richards Bay,ZA,71.53,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
197,Pacific Grove,US,62.94,clear sky,36.6177,-121.9166,Lovers Point Inn
199,Hirara,JP,70.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
200,Esperance,AU,73.24,few clouds,-33.8667,121.9,Hospitality Esperance
203,Sinnamary,GF,76.87,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
204,Paita,PE,72.18,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
205,Kununurra,AU,84.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
